Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
Closed,1413,High,Email,Product setup,2nd line support,Heather Urry,2/18/2023 10:17,2/20/2023 10:17,2/18/2023 11:17,00:21.7,SLA Violated,00:00.1,SLA Violated,52:16.9,1,4,Ready to use Software,Tier 2,Austria,47.6964719,13.3457347
Closed,1420,Low,Email,Purchasing and invoicing,1st line support,Bernard Beckley,2/19/2023 0:43,2/21/2023 0:43,2/19/2023 1:43,01:40.5,SLA Violated,53:05.3,Within SLA,28:50.0,10,4,Other,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1421,Medium,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2/19/2023 22:39,2/21/2023 22:39,2/19/2023 23:39,27:31.8,SLA Violated,56:25.0,Within SLA,23:24.9,9,5,Other,Tier 1,Spain,39.67337,-4.767726
Resolved,1422,Medium,Phone,Feature request,1st line support,Connor Danielovitch,2/19/2023 22:29,2/21/2023 22:29,2/19/2023 22:31,32:08.7,SLA Violated,37:04.0,Within SLA,,1,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Open,1423,Low,Email,Feature request,1st line support,Kristos Westoll,2/19/2023 7:26,2/21/2023 7:26,2/19/2023 8:26,,SLA Violated,,SLA Violated,,,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1424,Low,Phone,Pricing and licensing,1st line support,Bernard Beckley,2/19/2023 0:21,2/21/2023 0:21,2/19/2023 0:23,22:15.2,SLA Violated,58:47.1,Within SLA,24:57.3,2,5,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Closed,1425,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2/19/2023 4:46,2/21/2023 4:46,2/19/2023 5:46,50:09.6,SLA Violated,42:07.0,Within SLA,21:08.5,8,1,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1426,Medium,Phone,Training request,2nd line support,Michele Whyatt,2/20/2023 3:12,2/22/2023 3:12,2/20/2023 3:14,12:05.1,SLA Violated,04:01.7,Within SLA,,6,,Training and Consulting Services,Tier 2,Germany,51.165691,10.451526
Resolved,1427,Medium,Email,Bug report,1st line support,Nicola Wane,2/20/2023 6:04,2/22/2023 6:04,2/20/2023 7:04,39:17.6,SLA Violated,56:36.4,Within SLA,,2,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1428,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,2/20/2023 8:22,2/22/2023 8:22,2/20/2023 9:22,19:06.1,SLA Violated,47:22.0,Within SLA,,3,,Other,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1429,Low,Email,Feature request,2nd line support,Adolpho Messingham,2/20/2023 17:13,2/22/2023 17:13,2/20/2023 18:13,04:32.4,SLA Violated,04:01.3,Within SLA,,2,,Other,Tier 2,Italy,43.036776,12.678565
Closed,1430,Low,Email,Product setup,1st line support,Nicola Wane,2/20/2023 21:22,2/22/2023 21:22,2/20/2023 22:22,55:55.6,SLA Violated,14:03.6,Within SLA,01:00.6,1,1,Other,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1431,Low,Chat,Purchasing and invoicing,2nd line support,Heather Urry,2/20/2023 22:01,2/21/2023 22:01,2/20/2023 22:03,04:06.0,SLA Violated,33:21.8,Within SLA,,2,,Custom software development,Tier 2,Germany,51.165691,10.451526
Resolved,1432,Medium,Email,Feature request,1st line support,Bernard Beckley,2/20/2023 2:07,2/22/2023 2:07,2/20/2023 3:07,46:20.4,SLA Violated,37:22.8,Within SLA,,1,,Other,Tier 1,Greece,39.368279,21.863141
Closed,1433,Low,Chat,Pricing and licensing,2nd line support,Heather Urry,2/20/2023 21:27,2/21/2023 21:27,2/20/2023 21:29,29:46.2,SLA Violated,00:53.0,Within SLA,53:01.2,2,5,Ready to use Software,Tier 2,Italy,43.036776,12.678565
In progress,1434,Low,Email,Pricing and licensing,2nd line support,Michele Whyatt,2/20/2023 11:10,2/22/2023 11:10,2/20/2023 12:10,14:31.0,SLA Violated,,SLA Violated,,2,,Training and Consulting Services,Tier 2,Austria,47.6964719,13.3457347
Closed,1435,High,Phone,Product setup,2nd line support,Heather Urry,2/21/2023 19:30,2/23/2023 19:30,2/21/2023 19:32,31:01.5,Within SLA,05:04.6,Within SLA,19:21.1,1,3,Ready to use Software,Tier 2,Italy,43.036776,12.678565
In progress,1436,High,Chat,Product setup,1st line support,Sheela Cutten,2/21/2023 4:21,2/22/2023 4:21,2/21/2023 4:23,23:34.6,Within SLA,,SLA Violated,,4,,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565
In progress,1437,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2/21/2023 11:56,2/22/2023 11:56,2/21/2023 11:58,57:48.9,Within SLA,,SLA Violated,,6,,Other,Tier 1,Germany,51.165691,10.451526
In progress,1438,High,Email,Other,1st line support,Bernard Beckley,2/21/2023 17:45,2/23/2023 17:45,2/21/2023 18:45,16:19.5,Within SLA,,SLA Violated,,1,,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1439,Medium,Email,Pricing and licensing,1st line support,Nicola Wane,2/21/2023 21:30,2/23/2023 21:30,2/21/2023 22:30,08:39.0,Within SLA,59:47.3,Within SLA,43:23.0,2,1,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1440,Medium,Email,Bug report,1st line support,Kristos Westoll,2/22/2023 1:36,2/24/2023 1:36,2/22/2023 2:36,47:13.9,Within SLA,30:15.1,SLA Violated,,6,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1441,Medium,Chat,Pricing and licensing,1st line support,Connor Danielovitch,2/22/2023 15:41,2/23/2023 15:41,2/22/2023 15:43,43:14.3,Within SLA,55:14.9,Within SLA,,4,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
In progress,1442,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,2/22/2023 16:13,2/24/2023 16:13,2/22/2023 17:13,30:12.1,SLA Violated,,SLA Violated,,2,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Resolved,1443,Low,Email,Training request,2nd line support,Heather Urry,2/22/2023 3:36,2/24/2023 3:36,2/22/2023 4:36,07:02.7,Within SLA,45:07.5,Within SLA,,1,,Training and Consulting Services,Tier 2,Czech Republic,49.8037633,15.4749126
Resolved,1444,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,2/22/2023 17:31,2/24/2023 17:31,2/22/2023 18:31,07:29.6,Within SLA,15:13.8,Within SLA,,10,,Training and Consulting Services,Tier 1,France,48.864716,2.349014
Closed,1445,Medium,Email,Bug report,2nd line support,Michele Whyatt,2/23/2023 7:34,2/25/2023 7:34,2/23/2023 8:34,27:03.9,Within SLA,24:29.3,Within SLA,38:49.3,10,5,Custom software development,Tier 2,Poland,52.536273,19.050639
In progress,1446,Low,Email,Training request,1st line support,Kristos Westoll,2/23/2023 12:45,2/25/2023 12:45,2/23/2023 13:45,20:10.9,Within SLA,,SLA Violated,,9,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
In progress,1447,High,Email,Product setup,1st line support,Bernard Beckley,2/23/2023 1:02,2/25/2023 1:02,2/23/2023 2:02,19:03.3,Within SLA,,SLA Violated,,3,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
In progress,1448,Low,Chat,Pricing and Licensing,1st line support,Nicola Wane,2/23/2023 20:11,2/24/2023 20:11,2/23/2023 20:13,12:53.9,Within SLA,,SLA Violated,,6,,Custom software development,Tier 1,Italy,43.036776,12.678565
Closed,1449,High,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2/24/2023 4:39,2/25/2023 4:39,2/24/2023 4:41,43:40.8,SLA Violated,35:49.7,Within SLA,56:24.1,6,3,Ready to use Software,Tier 2,Italy,43.036776,12.678565
Closed,1450,Low,Chat,Bug report,1st line support,Nicola Wane,2/24/2023 9:50,2/25/2023 9:50,2/24/2023 9:52,52:01.6,Within SLA,22:35.2,Within SLA,34:55.8,2,4,Ready to use Software,Tier 1,France,48.864716,2.349014
In progress,1451,High,Email,Purchasing and invoicing,1st line support,Nicola Wane,2/24/2023 9:10,2/26/2023 9:10,2/24/2023 10:10,15:29.7,Within SLA,,SLA Violated,,2,,Training and Consulting Services,Tier 1,France,48.864716,2.349014
In progress,1452,Low,Email,Other,2nd line support,Heather Urry,2/24/2023 4:28,2/26/2023 4:28,2/24/2023 5:28,44:06.4,Within SLA,,SLA Violated,,7,,Custom software development,Tier 2,Austria,47.6964719,13.3457347
Closed,1453,High,Email,Pricing and licensing,1st line support,Nicola Wane,2/24/2023 21:10,2/26/2023 21:10,2/24/2023 22:10,40:03.6,Within SLA,21:21.7,Within SLA,36:41.4,6,1,Custom software development,Tier 1,Germany,51.165691,10.451526
In progress,1454,Low,Email,Pricing and Licensing,1st line support,Nicola Wane,2/25/2023 1:51,2/27/2023 1:51,2/25/2023 2:51,52:32.4,SLA Violated,,SLA Violated,,1,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1455,Medium,Email,Bug report,1st line support,Bernard Beckley,2/25/2023 14:45,2/27/2023 14:45,2/25/2023 15:45,59:47.2,Within SLA,23:28.4,Within SLA,33:05.2,10,5,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1466,High,Email,Product setup,1st line support,Kristos Westoll,2/26/2023 8:44,2/28/2023 8:44,2/26/2023 9:44,44:37.2,Within SLA,27:26.1,Within SLA,09:06.2,10,3,Other,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1467,High,Chat,Other,1st line support,Sheela Cutten,2/26/2023 3:47,2/27/2023 3:47,2/26/2023 3:49,48:18.6,Within SLA,00:10.3,Within SLA,,2,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1468,Low,Email,Feature request,1st line support,Kristos Westoll,2/26/2023 21:50,2/28/2023 21:50,2/26/2023 22:50,39:15.0,Within SLA,05:57.1,SLA Violated,04:38.2,1,2,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1469,High,Phone,Pricing and licensing,1st line support,Sheela Cutten,2/26/2023 18:41,2/28/2023 18:41,2/26/2023 18:43,42:18.6,Within SLA,30:06.3,Within SLA,00:57.7,1,2,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1470,Medium,Chat,Pricing and Licensing,1st line support,Connor Danielovitch,2/27/2023 17:25,2/28/2023 17:25,2/27/2023 17:27,26:15.3,Within SLA,58:26.6,Within SLA,34:29.4,2,5,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1471,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,2/27/2023 2:21,2/28/2023 2:21,2/27/2023 2:23,23:24.4,Within SLA,,SLA Violated,,6,,Custom software development,Tier 2,Germany,51.165691,10.451526
Closed,1472,Medium,Chat,Feature request,1st line support,Kristos Westoll,2/27/2023 15:33,2/28/2023 15:33,2/27/2023 15:35,34:13.0,Within SLA,50:12.1,Within SLA,29:55.5,4,5,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1473,Medium,Chat,Pricing and licensing,1st line support,Nicola Wane,2/27/2023 22:04,2/28/2023 22:04,2/27/2023 22:06,06:20.0,Within SLA,25:21.8,Within SLA,32:23.8,4,4,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Closed,1474,Low,Chat,Product setup,2nd line support,Adolpho Messingham,2/28/2023 7:57,03-01-2023 07:57,2/28/2023 7:59,00:59.8,SLA Violated,26:45.3,Within SLA,52:38.8,5,4,Ready to use Software,Tier 2,Slovenia,46.1491664,14.9860106
In progress,1475,High,Chat,Bug report,1st line support,Bernard Beckley,2/28/2023 12:00,03-01-2023 12:00,2/28/2023 12:02,00:59.7,Within SLA,,SLA Violated,,6,,Custom software development,Tier 1,Poland,52.536273,19.050639
Resolved,1476,Low,Chat,Pricing and Licensing,1st line support,Kristos Westoll,2/28/2023 22:29,03-01-2023 22:29,2/28/2023 22:31,30:23.9,Within SLA,11:04.4,Within SLA,,8,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1477,Low,Chat,Purchasing and invoicing,1st line support,Sheela Cutten,2/28/2023 18:38,03-01-2023 18:38,2/28/2023 18:40,42:39.7,SLA Violated,58:57.5,Within SLA,,6,,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1478,High,Email,Bug report,1st line support,Bernard Beckley,2/28/2023 17:42,03-02-2023 17:42,2/28/2023 18:42,46:03.2,Within SLA,03:44.8,Within SLA,32:18.6,2,4,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126
In progress,1479,Medium,Phone,Pricing and Licensing,1st line support,Connor Danielovitch,2/28/2023 4:14,03-02-2023 04:14,2/28/2023 4:16,14:38.5,Within SLA,,SLA Violated,,1,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1480,Low,Chat,Other,2nd line support,Michele Whyatt,2/28/2023 10:13,03-01-2023 10:13,2/28/2023 10:15,14:06.7,Within SLA,14:59.0,Within SLA,04:02.0,9,1,Ready to use Software,Tier 2,Poland,52.536273,19.050639
Closed,1481,Low,Phone,Product setup,1st line support,Bernard Beckley,2/28/2023 13:27,03-02-2023 13:27,2/28/2023 13:29,28:03.7,Within SLA,46:06.5,Within SLA,09:46.2,7,5,Other,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1482,Low,Email,Bug report,2nd line support,Michele Whyatt,03-01-2023 22:02,03-03-2023 22:02,03-01-2023 23:02,54:38.7,Within SLA,58:24.1,Within SLA,52:04.4,8,5,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639
Closed,1483,Low,Phone,Product setup,1st line support,Connor Danielovitch,03-01-2023 23:03,03-03-2023 23:03,03-01-2023 23:05,04:44.9,Within SLA,08:18.3,Within SLA,05:13.3,4,4,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Closed,1484,Low,Phone,Purchasing and invoicing,1st line support,Kristos Westoll,03-01-2023 09:33,03-03-2023 09:33,03-01-2023 09:35,36:29.2,SLA Violated,13:29.8,Within SLA,21:46.3,4,4,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1485,Low,Email,Product setup,2nd line support,Michele Whyatt,03-01-2023 18:50,03-03-2023 18:50,03-01-2023 19:50,11:19.3,Within SLA,50:25.0,Within SLA,,2,,Custom software development,Tier 2,Italy,43.036776,12.678565
Closed,1486,Low,Email,Product setup,1st line support,Nicola Wane,03-01-2023 06:21,03-03-2023 06:21,03-01-2023 07:21,23:36.8,Within SLA,46:20.7,Within SLA,53:42.2,7,3,Other,Tier 1,Italy,43.036776,12.678565
Closed,1487,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,03-02-2023 23:55,03-03-2023 23:55,03-02-2023 23:57,57:33.6,Within SLA,43:25.9,Within SLA,05:17.8,5,4,Ready to use Software,Tier 1,France,48.864716,2.349014
Resolved,1488,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,03-02-2023 03:37,03-04-2023 03:37,03-02-2023 04:37,50:04.4,SLA Violated,13:16.2,Within SLA,,1,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Closed,1489,High,Phone,Feature request,1st line support,Kristos Westoll,03-02-2023 07:15,03-04-2023 07:15,03-02-2023 07:17,21:51.6,SLA Violated,51:09.6,Within SLA,03:28.7,2,4,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1490,Low,Chat,Bug report,2nd line support,Heather Urry,03-02-2023 20:46,03-03-2023 20:46,03-02-2023 20:48,47:32.1,Within SLA,27:26.0,Within SLA,,5,,Ready to use Software,Tier 2,Greece,39.368279,21.863141
Resolved,1491,Low,Chat,Other,2nd line support,Adolpho Messingham,03-02-2023 00:14,03-03-2023 00:14,03-02-2023 00:16,16:06.0,Within SLA,22:49.0,Within SLA,,3,,Custom software development,Tier 2,Bulgaria,42.7249925,25.4833039
Resolved,1492,Low,Email,Feature request,1st line support,Nicola Wane,03-02-2023 12:11,03-04-2023 12:11,03-02-2023 13:11,58:52.2,Within SLA,06:41.2,Within SLA,,1,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Closed,1493,Low,Email,Product setup,1st line support,Connor Danielovitch,03-02-2023 04:22,03-04-2023 04:22,03-02-2023 05:22,34:46.2,Within SLA,18:32.6,Within SLA,38:47.3,9,5,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1494,Medium,Email,Product setup,1st line support,Bernard Beckley,03-02-2023 15:32,03-04-2023 15:32,03-02-2023 16:32,34:54.1,Within SLA,26:25.7,Within SLA,27:15.8,9,1,Other,Tier 1,United Kingdom,55.378052,-3.435973
In progress,1495,Medium,Chat,Feature request,1st line support,Connor Danielovitch,03-02-2023 17:46,03-03-2023 17:46,03-02-2023 17:48,48:48.4,Within SLA,,SLA Violated,,6,,Ready to use Software,Tier 1,France,48.864716,2.349014
Resolved,1496,Medium,Phone,Feature request,1st line support,Kristos Westoll,03-02-2023 22:28,03-04-2023 22:28,03-02-2023 22:30,30:35.4,SLA Violated,24:19.0,SLA Violated,,1,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1497,Medium,Chat,Purchasing and invoicing,1st line support,Kristos Westoll,03-03-2023 16:18,03-04-2023 16:18,03-03-2023 16:20,19:41.2,Within SLA,46:45.6,SLA Violated,,6,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1498,Low,Email,Product setup,1st line support,Kristos Westoll,03-03-2023 13:32,03-05-2023 13:32,03-03-2023 14:32,28:06.9,Within SLA,,SLA Violated,,2,,Training and Consulting Services,Tier 1,Poland,52.536273,19.050639
Resolved,1499,Low,Chat,Product setup,1st line support,Kristos Westoll,03-03-2023 21:03,03-04-2023 21:03,03-03-2023 21:05,03:46.0,Within SLA,17:01.5,Within SLA,,8,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
In progress,1500,Medium,Email,Pricing and licensing,1st line support,Nicola Wane,03-03-2023 06:08,03-05-2023 06:08,03-03-2023 07:08,46:13.7,Within SLA,,SLA Violated,,1,,Custom software development,Tier 1,Greece,39.368279,21.863141
Closed,1501,Low,Email,Purchasing and invoicing,1st line support,Connor Danielovitch,03-04-2023 07:14,03-06-2023 07:14,03-04-2023 08:14,13:36.8,Within SLA,47:21.6,Within SLA,51:38.8,6,3,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1502,Low,Chat,Other,1st line support,Connor Danielovitch,03-04-2023 18:27,03-05-2023 18:27,03-04-2023 18:29,27:30.2,Within SLA,00:44.6,Within SLA,,60,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
In progress,1503,Low,Email,Other,1st line support,Nicola Wane,03-04-2023 10:20,03-06-2023 10:20,03-04-2023 11:20,18:01.1,SLA Violated,,SLA Violated,,9,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Resolved,1504,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,03-04-2023 17:46,03-06-2023 17:46,03-04-2023 18:46,36:48.6,Within SLA,51:13.4,Within SLA,,5,,Other,Tier 1,Poland,52.536273,19.050639
Closed,1512,High,Email,Pricing and licensing,1st line support,Nicola Wane,03-05-2023 15:14,03-07-2023 15:14,03-05-2023 16:14,41:36.4,Within SLA,13:39.1,Within SLA,04:50.5,1,4,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1513,Low,Chat,Training request,2nd line support,Adolpho Messingham,03-05-2023 03:42,03-06-2023 03:42,03-05-2023 03:44,43:46.5,Within SLA,06:03.9,Within SLA,00:17.6,6,4,Training and Consulting Services,Tier 2,Greece,39.368279,21.863141
Closed,1514,Low,Email,Feature request,1st line support,Nicola Wane,03-05-2023 07:03,03-07-2023 07:03,03-05-2023 08:03,00:54.7,Within SLA,09:54.0,Within SLA,51:12.6,3,3,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1515,Low,Email,Feature request,1st line support,Nicola Wane,03-05-2023 04:57,03-07-2023 04:57,03-05-2023 05:57,36:34.5,Within SLA,59:58.5,Within SLA,,2,,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126
Resolved,1516,Low,Email,Other,1st line support,Kristos Westoll,03-05-2023 07:34,03-07-2023 07:34,03-05-2023 08:34,45:47.2,Within SLA,20:26.7,Within SLA,,2,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1517,Low,Chat,Pricing and licensing,1st line support,Sheela Cutten,03-06-2023 10:44,03-07-2023 10:44,03-06-2023 10:46,45:59.8,Within SLA,26:39.9,SLA Violated,31:41.5,6,4,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1518,Low,Chat,Feature request,1st line support,Connor Danielovitch,03-06-2023 10:48,03-07-2023 10:48,03-06-2023 10:50,49:22.4,Within SLA,41:58.1,Within SLA,48:58.2,7,4,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Closed,1519,Low,Phone,Pricing and licensing,2nd line support,Heather Urry,03-06-2023 07:01,03-08-2023 07:01,03-06-2023 07:03,03:34.0,Within SLA,51:27.4,Within SLA,05:11.6,4,4,Custom software development,Tier 2,United Kingdom,55.378052,-3.435973
In progress,1520,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,03-06-2023 21:19,03-07-2023 21:19,03-06-2023 21:21,21:26.2,Within SLA,,SLA Violated,,6,,Custom software development,Tier 1,Bulgaria,42.7249925,25.4833039
In progress,1521,Low,Chat,Pricing and licensing,2nd line support,Heather Urry,03-06-2023 10:20,03-07-2023 10:20,03-06-2023 10:22,23:37.0,SLA Violated,,SLA Violated,,6,,Ready to use Software,Tier 2,Italy,43.036776,12.678565
Closed,1522,Medium,Email,Purchasing and invoicing,1st line support,Bernard Beckley,03-06-2023 06:16,03-08-2023 06:16,03-06-2023 07:16,22:09.5,SLA Violated,24:53.1,Within SLA,17:22.3,8,4,Other,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1523,High,Chat,Pricing and licensing,1st line support,Sheela Cutten,03-06-2023 12:24,03-07-2023 12:24,03-06-2023 12:26,24:54.4,Within SLA,54:50.7,Within SLA,34:47.6,3,3,Other,Tier 1,Republic of Ireland,53.094024,-8.019675
Closed,1524,Medium,Chat,Feature request,1st line support,Bernard Beckley,03-06-2023 07:24,03-07-2023 07:24,03-06-2023 07:26,25:32.9,Within SLA,09:32.1,Within SLA,28:21.8,4,4,Custom software development,Tier 1,France,48.864716,2.349014
Resolved,1525,High,Email,Pricing and licensing,1st line support,Sheela Cutten,03-06-2023 15:56,03-08-2023 15:56,03-06-2023 16:56,19:03.2,Within SLA,25:54.8,Within SLA,,4,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1526,Medium,Email,Bug report,1st line support,Nicola Wane,03-06-2023 07:21,03-08-2023 07:21,03-06-2023 08:21,57:55.6,Within SLA,,SLA Violated,,2,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
In progress,1527,High,Email,Product setup,2nd line support,Adolpho Messingham,03-06-2023 18:06,03-08-2023 18:06,03-06-2023 19:06,27:13.5,Within SLA,,SLA Violated,,7,,Training and Consulting Services,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1528,Low,Phone,Pricing and licensing,1st line support,Connor Danielovitch,03-06-2023 04:37,03-08-2023 04:37,03-06-2023 04:39,37:27.3,Within SLA,57:16.0,Within SLA,,3,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1529,Medium,Chat,Feature request,2nd line support,Adolpho Messingham,03-06-2023 04:25,03-07-2023 04:25,03-06-2023 04:27,26:31.2,Within SLA,39:09.3,Within SLA,48:50.4,9,5,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1530,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,03-07-2023 13:30,03-08-2023 13:30,03-07-2023 13:32,31:30.0,Within SLA,36:14.4,SLA Violated,,4,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1531,Low,Phone,Product setup,1st line support,Connor Danielovitch,03-07-2023 21:19,03-09-2023 21:19,03-07-2023 21:21,24:44.8,SLA Violated,59:49.4,Within SLA,58:07.5,1,5,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1532,Low,Email,Feature request,1st line support,Kristos Westoll,03-07-2023 05:15,03-09-2023 05:15,03-07-2023 06:15,03:00.2,Within SLA,41:50.8,Within SLA,,1,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1533,High,Email,Purchasing and invoicing,1st line support,Sheela Cutten,03-07-2023 23:13,03-09-2023 23:13,03-08-2023 00:13,20:56.0,Within SLA,21:43.6,Within SLA,,9,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1534,High,Email,Pricing and licensing,1st line support,Sheela Cutten,03-07-2023 20:40,03-09-2023 20:40,03-07-2023 21:40,03:30.8,Within SLA,36:35.7,Within SLA,22:33.0,1,4,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Resolved,1535,Medium,Email,Feature request,2nd line support,Michele Whyatt,03-07-2023 19:26,03-09-2023 19:26,03-07-2023 20:26,29:49.7,Within SLA,27:17.3,Within SLA,,2,,Other,Tier 2,United Kingdom,55.378052,-3.435973
Resolved,1536,Medium,Email,Product setup,1st line support,Nicola Wane,03-07-2023 02:09,03-09-2023 02:09,03-07-2023 03:09,27:03.0,Within SLA,46:05.5,Within SLA,,5,,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1537,Low,Chat,Product setup,1st line support,Bernard Beckley,03-08-2023 01:02,03-09-2023 01:02,03-08-2023 01:04,03:37.5,Within SLA,54:44.2,Within SLA,24:12.3,5,4,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1538,High,Email,Product setup,1st line support,Nicola Wane,03-08-2023 10:00,03-10-2023 10:00,03-08-2023 11:00,02:00.5,Within SLA,21:32.2,Within SLA,45:17.2,1,5,Training and Consulting Services,Tier 1,Italy,43.036776,12.678565
Resolved,1539,Low,Email,Bug report,2nd line support,Heather Urry,03-08-2023 19:03,03-10-2023 19:03,03-08-2023 20:03,17:35.9,Within SLA,27:56.7,Within SLA,,10,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Closed,1540,Low,Email,Bug report,2nd line support,Heather Urry,03-08-2023 02:37,03-10-2023 02:37,03-08-2023 03:37,43:28.3,Within SLA,09:20.7,Within SLA,13:59.3,4,3,Training and Consulting Services,Tier 2,Germany,51.165691,10.451526
Resolved,1541,Medium,Chat,Product setup,1st line support,Kristos Westoll,03-08-2023 19:55,03-09-2023 19:55,03-08-2023 19:57,56:12.5,Within SLA,25:39.3,Within SLA,,60,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1542,Low,Chat,Product setup,1st line support,Connor Danielovitch,03-08-2023 06:49,03-09-2023 06:49,03-08-2023 06:51,52:21.0,SLA Violated,05:33.8,SLA Violated,12:53.9,6,4,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1543,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,03-08-2023 18:53,03-09-2023 18:53,03-08-2023 18:55,54:53.8,Within SLA,18:29.7,SLA Violated,21:07.8,9,4,Training and Consulting Services,Tier 1,Poland,52.536273,19.050639
Closed,1544,Low,Chat,Product setup,1st line support,Connor Danielovitch,03-08-2023 21:01,03-09-2023 21:01,03-08-2023 21:03,02:08.4,Within SLA,28:21.2,Within SLA,19:28.7,6,4,Custom software development,Tier 1,France,48.864716,2.349014
